Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42257000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
42257000;1;01/02/2019;;1;1;;;;;;0;0;0;0;0;8,814;8,564;8,688;8,814;12,784;13;13,216;13,289;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
42257000;1;01/01/2019;;1;1;49,451;8,688;19,051;3;25;1;1;1;0;0;47,875;47,946;49,451;34,034;33,764;33,494;33,091;32,755;18,452;18,209;18,209;14,244;14,393;14,095;13,144;12,784;12,928;13,072;12,713;12,146;12,005;9,514;10,234;9,644;8,688;8,814;8,94;9,066;9,003;8,94;8,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
42257000;1;01/12/2018;;1;1;39,919;19,855;28,915;3;18;1;1;1;0;0;39,572;38,812;39,919;33,764;33,899;33,966;33,966;34,101;34,236;29,233;34,439;19,938;23,669;20,022;20,19;20,442;20,106;19,855;19,938;26,945;28,576;28,642;28,445;28,576;29,299;27,987;28,249;28,314;29,958;30,289;31,019;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42257000;1;01/11/2018;;1;1;64,147;3,796;35,441;26;1;1;1;1;0;0;3,796;5,985;9,709;4,72;15,681;17,007;28,249;43,339;48,376;54,814;58,488;57,529;52,411;45,881;30,952;24,242;23,796;22,416;26,88;33,292;33,899;33,966;45,173;46,45;47,518;64,147;56,206;47,375;47,161;33,764;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;0;
42257000;1;01/10/2018;;1;1;5,985;1,042;2,788;28;17;1;1;1;0;0;1,487;1,42;1,354;1,289;1,354;1,289;1,289;1,322;1,322;1,289;1,289;1,226;1,163;1,354;1,102;1,102;1,042;1,042;1,102;5,34;5,235;5,659;5,659;5,445;5,552;5,235;5,876;5,985;4,975;3,89;3,75;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42257000;1;01/09/2018;;1;1;3,474;1,554;2,225;26;30;1;1;1;0;0;2,25;1,983;1,983;2,058;2,134;2,134;1,983;1,983;2,021;2,058;2,058;1,983;1,909;1,983;1,909;1,983;1,983;2,134;2,134;2,211;2,368;2,776;3,205;3,294;3,384;3,474;2,528;1,658;1,623;1,554;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42257000;1;01/08/2018;;1;1;2,86;1,909;2,598;5;31;1;1;1;0;0;2,776;2,776;2,692;2,776;2,86;2,776;2,776;2,776;2,86;2,776;2,692;2,692;2,61;2,61;2,528;2,61;2,692;2,776;2,61;2,528;2,528;2,776;2,61;2,61;2,61;2,61;2,61;2,096;2,021;1,983;1,909;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42257000;1;01/07/2018;;1;1;3,985;2,61;3,218;11;30;1;1;1;0;0;3,294;3,162;2,902;2,776;2,945;3,031;3,118;3,205;3,294;3,294;3,985;3,843;3,843;3,657;3,657;3,565;3,565;3,474;3,384;3,384;3,294;3,205;3,205;3,118;3,031;2,945;2,818;2,776;2,776;2,61;2,61;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
42257000;1;01/06/2018;;1;1;;;;;;0;0;0;0;0;;;;4,323;4,323;4,323;3,985;3,89;3,796;3,657;3,611;3,703;3,611;3,565;3,474;3,384;3,428;3,611;3,519;3,474;3,384;3,657;3,474;3,162;3,205;3,031;2,945;2,945;3,294;3,205;;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42257000;1;01/05/2018;;1;1;7,589;3,985;5,222;16;7;1;1;1;0;0;4,08;4,421;4,57;4,323;4,323;4,323;3,985;4,67;4,771;4,72;4,873;4,72;4,975;6,318;7,47;7,589;7,293;6,206;6,095;6,206;5,821;5,552;5,287;5,13;5,182;5,027;5,078;4,924;4,873;4,62;4,47;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
